2026-04-02 15:54:03.771869,Looking Left
2026-04-02 15:54:04.045135,Looking Left
2026-04-02 15:54:04.056135,Looking Left
2026-04-02 15:54:04.330461,Looking Left
2026-04-02 15:54:04.341562,Looking Left
2026-04-02 15:54:04.616255,Looking Left
2026-04-02 15:54:04.626253,Looking Left
2026-04-02 15:54:04.916005,Looking Left
2026-04-02 15:54:04.927010,Looking Left
2026-04-02 15:54:05.220605,Looking Left
2026-04-02 15:54:05.230607,Looking Left
2026-04-02 15:54:05.526997,Looking Left
2026-04-02 15:54:05.545814,Looking Left
2026-04-02 15:54:05.821990,Looking Left
2026-04-02 15:54:05.832790,Looking Left
2026-04-02 15:54:06.106654,Looking Left
2026-04-02 15:54:08.165654,Looking Left
2026-04-02 15:54:08.440070,Looking Left
2026-04-02 15:54:08.450070,Looking Right
2026-04-02 15:54:08.475001,Looking Right
2026-04-02 15:54:08.498608,Looking Right
2026-04-02 15:54:08.820285,Looking Right
2026-04-02 15:54:08.831325,Looking Left
2026-04-02 15:54:09.682581,Looking Right
2026-04-02 15:54:11.422985,Looking Right
2026-04-02 15:54:11.992453,Looking Left
2026-04-02 15:54:12.269925,Looking Left
2026-04-02 15:54:12.293059,Looking Left
2026-04-02 15:54:12.578443,Looking Left
2026-04-02 15:54:12.877093,Looking Left
2026-04-02 15:54:13.773855,Looking Left
2026-04-02 15:54:14.717299,Looking Left
2026-04-02 15:54:14.732036,Looking Left
2026-04-02 15:54:14.780927,Looking Left
2026-04-02 15:54:14.811270,Looking Left
2026-04-02 15:54:14.834181,Looking Left
2026-04-02 15:54:14.875558,Looking Left
2026-04-02 15:54:14.897899,Looking Left
2026-04-02 15:54:14.971154,Looking Left
2026-04-02 15:54:14.995599,Looking Left
2026-04-02 15:54:15.035231,Looking Left
2026-04-02 15:54:15.994165,Looking Left
2026-04-02 15:54:20.234928,Looking Right
2026-04-02 15:54:20.258404,Looking Right
2026-04-02 15:54:20.299631,Looking Right
2026-04-02 15:54:20.322592,Looking Right
2026-04-02 15:54:20.363462,Looking Right
2026-04-02 15:54:20.385802,Looking Right
2026-04-02 15:54:20.426955,Looking Right
2026-04-02 15:54:20.450239,Looking Right
2026-04-02 15:54:20.507993,Looking Right
2026-04-02 15:54:25.399589,Looking Right
2026-04-02 15:54:25.421749,Looking Right
2026-04-02 15:54:25.452470,Looking Right
2026-04-02 15:54:25.475173,Looking Right
2026-04-02 15:54:25.517053,Looking Right
2026-04-02 15:54:25.537805,Looking Right
2026-04-02 15:54:25.580452,Looking Right
2026-04-02 15:54:25.617880,Looking Right
2026-04-02 15:54:25.660520,Looking Right
2026-04-02 15:54:25.683123,Looking Right
2026-04-02 15:54:25.724366,Looking Right
2026-04-02 15:54:25.746872,Looking Right
2026-04-02 15:54:25.787898,Looking Right
2026-04-02 15:54:25.810143,Looking Right
2026-04-02 15:54:25.853175,Looking Right
2026-04-02 15:54:25.873994,Looking Right
2026-04-02 15:54:25.916301,Looking Right
2026-04-02 15:54:25.939001,Looking Right
2026-04-02 15:54:25.979808,Looking Right
